accuracy,precision,recall,f1,n_classes,n_features,n_char_features,n_obs_train,n_obs_test,signal_train,signal_test,diff_train,diff_test,noise_train,noise_test,classifier,n_hidden_GNN,n_hidden_FC
0.2292,0.22931894850721,0.2292,0.22865197770051,5,125,5,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.2264,0.235904536184477,0.2264,0.219110346997191,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.2172,0.21851534629983,0.2172,0.216056995951102,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,16,0
0.216,0.215617469926709,0.216,0.211684083435516,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,8,0
0.2156,0.215255786147777,0.2156,0.211739699130092,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,16
0.2144,0.216706962409154,0.2144,0.214129006954602,5,50,5,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.2136,0.215763983781962,0.2136,0.210784191118362,5,125,10,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.2124,0.211779835681689,0.2124,0.211355095312869,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,Chebnet,4,0
0.2108,0.210582488970815,0.2108,0.204769949938826,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2104,0.215206784346442,0.2104,0.211843641388666,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,8,0
0.2104,0.209817104195182,0.2104,0.20445684815725,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2096,0.20969608009101,0.2096,0.205225164589188,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,4,0
0.2096,0.211404050932906,0.2096,0.205865746343562,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,16,0
0.2076,0.204132461883946,0.2076,0.203873461946961,5,50,10,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2076,0.209192380687165,0.2076,0.205348024403898,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.2068,0.205023833210659,0.2068,0.204925072992472,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,32
0.206,0.204872616256496,0.206,0.201967684901876,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,0
0.2048,0.205749135271133,0.2048,0.204531876171022,5,125,5,500,500,10,2,0.3,0.3,0.4,0.4,MLP,0,0
0.2048,0.204831632051426,0.2048,0.204312572062414,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,4,0
0.204,0.205023013453973,0.204,0.199751624316242,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,Chebnet,16,0
0.204,0.207747610540836,0.204,0.201813765026473,5,50,50,500,500,10,5,0.3,0.3,0.4,0.4,MLP,0,32
0.2036,0.200423923359681,0.2036,0.199754197651283,5,50,50,500,500,10,2,0.3,0.3,0.4,0.4,GraphSAGE,16,0
